label_id	tomogram	DMVs	Virions	DMVs Opening	DMS	connectors	Fused DMVs	zER	Peroxisomes	Golgi	VTC	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z
1.0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1.5642319999999992	1.5642320000000045	0.1511260000000044	0.0	0.0	0.021812	3.128464	3.128464	0.28044
2.0	2	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	4.917048000000026	1.564232000000006	0.1511260000000076	3.352816	0.0	0.012464	6.481280000000001	3.128464	0.289788
3.0	3	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	8.269863999999938	1.564232000000004	0.1511260000000065	6.7056320000000005	0.0	0.006232	9.834096	3.128464	0.29602
4.0	4	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	11.6226799999999	1.5642320000000045	0.1511260000000026	10.058448	0.0	0.012464	13.186912	3.128464	0.289788
5.0	5	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	14.975496000000094	1.564232000000004	0.1511260000000065	13.411264	0.0	0.006232	16.539728	3.128464	0.29602
6.0	6	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	18.328311999999865	1.5642319999999992	0.1511260000000035	16.76408	0.0	0.0	19.892544	3.128464	0.302252
7.0	7	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	0	21.68112800000014	1.5642320000000045	0.1511260000000056	20.116896	0.0	0.01558	23.24536	3.128464	0.286672
8.0	8	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	25.033943999999995	1.564232000000001	0.1511260000000043	23.469712	0.0	0.006232	26.598176	3.128464	0.29602
9.0	9	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	28.38676000000007	1.5642320000000045	0.151126000000008	26.822528	0.0	0.012464	29.950992000000006	3.128464	0.289788
10.0	10	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	31.739576000000035	1.5642320000000007	0.151126000000002	30.17534400000001	0.0	0.012464	33.303808000000004	3.128464	0.289788
11.0	11	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1.5642319999999992	4.9170479999997605	0.1511260000000076	0.0	3.352816	0.012464	3.128464	6.481280000000001	0.289788
12.0	12	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	4.917047999999895	4.917047999999996	0.1511260000000011	3.352816	3.352816	0.021812	6.481280000000001	6.481280000000001	0.28044
13.0	13	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	8.269863999999988	4.917047999999748	0.1511260000000052	6.7056320000000005	3.352816	0.006232	9.834096	6.481280000000001	0.29602
14.0	14	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	11.622679999999963	4.917047999999983	0.1511260000000039	10.058448	3.352816	0.01558	13.186912	6.481280000000001	0.286672
15.0	15	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	14.975496000000124	4.9170479999997605	0.1511260000000076	13.411264	3.352816	0.012464	16.539728	6.481280000000001	0.289788
16.0	16	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	18.328311999999872	4.917047999999948	0.1511260000000056	16.76408	3.352816	0.0	19.892544	6.481280000000001	0.302252
17.0	17	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	21.68112800000014	4.9170479999997605	0.1511260000000076	20.116896	3.352816	0.012464	23.24536	6.481280000000001	0.289788
18.0	18	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	25.033943999999995	4.917047999999922	0.1511260000000028	23.469712	3.352816	0.006232	26.598176	6.481280000000001	0.29602
19.0	19	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	28.38676000000007	4.9170479999997605	0.1511260000000076	26.822528	3.352816	0.012464	29.950992000000006	6.481280000000001	0.289788
20.0	20	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	31.739576000000024	4.917048000000018	0.1511260000000027	30.17534400000001	3.352816	0.012464	33.303808000000004	6.481280000000001	0.289788
21.0	21	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1.5642319999999992	8.269864000000215	0.151126000000003	0.0	6.7056320000000005	0.028044	3.128464	9.834096	0.274208
22.0	22	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	4.917048000000066	8.269863999999819	0.1511260000000052	3.352816	6.7056320000000005	0.006232	6.481280000000001	9.834096	0.29602
23.0	23	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	8.269863999999925	8.269864000000275	0.1511260000000074	6.7056320000000005	6.7056320000000005	0.003116	9.834096	9.834096	0.299136
24.0	24	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	11.622679999999905	8.269863999999988	0.1511260000000023	10.058448	6.7056320000000005	0.01558	13.186912	9.834096	0.286672
25.0	25	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	14.975496000000144	8.269864000000199	0.1511260000000044	13.411264	6.7056320000000005	0.021812	16.539728	9.834096	0.28044
26.0	26	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	18.328311999999983	8.269863999999991	0.1511260000000038	16.76408	6.7056320000000005	0.021812	19.892544	9.834096	0.28044
27.0	27	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	21.681128000000125	8.269864000000215	0.151126000000003	20.116896	6.7056320000000005	0.028044	23.24536	9.834096	0.274208
28.0	28	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	25.033943999999995	8.269864000000005	0.1511260000000035	23.469712	6.7056320000000005	0.028044	26.598176	9.834096	0.274208
29.0	29	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	28.38676000000007	8.269864000000245	0.151126000000008	26.822528	6.7056320000000005	0.012464	29.950992000000006	9.834096	0.289788
30.0	30	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	31.739576000000024	8.269863999999991	0.1511260000000008	30.17534400000001	6.7056320000000005	0.006232	33.303808000000004	9.834096	0.29602
31.0	31	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1.5642319999999992	11.62268000000014	0.1511260000000026	0.0	10.058448	0.012464	3.128464	13.186912	0.289788
32.0	32	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	4.917047999999888	11.62267999999992	0.1511260000000044	3.352816	10.058448	0.012464	6.481280000000001	13.186912	0.289788
33.0	33	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	8.269863999999961	11.622680000000072	0.1511260000000011	6.7056320000000005	10.058448	0.021812	9.834096	13.186912	0.28044
34.0	34	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	11.622680000000017	11.62268	0.1511260000000039	10.058448	10.058448	0.01558	13.186912	13.186912	0.286672
35.0	35	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	14.975496000000083	11.62268000000014	0.1511260000000026	13.411264	10.058448	0.012464	16.539728	13.186912	0.289788
36.0	36	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	18.328311999999983	11.62268000000002	0.1511260000000033	16.76408	10.058448	0.01558	19.892544	13.186912	0.286672
37.0	37	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	21.681128000000047	11.622680000000036	0.1511260000000015	20.116896	10.058448	0.03116	23.24536	13.186912	0.271092
38.0	38	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	25.033944	11.622680000000011	0.151126000000002	23.469712	10.058448	0.021812	26.598176	13.186912	0.28044
39.0	39	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	28.386760000000063	11.622680000000072	0.1511260000000011	26.822528	10.058448	0.021812	29.950992000000006	13.186912	0.28044
40.0	40	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	31.739576000000035	11.62267999999994	0.1511260000000016	30.17534400000001	10.058448	0.01558	33.303808000000004	13.186912	0.286672
41.0	41	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1.5642319999999992	14.97549600000025	0.1511260000000065	0.0	13.411264	0.006232	3.128464	16.539728	0.29602
42.0	42	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	4.917048000000066	14.975495999999811	0.1511260000000052	3.352816	13.411264	0.006232	6.481280000000001	16.539728	0.29602
43.0	43	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	8.269863999999977	14.9754960000002	0.1511260000000044	6.7056320000000005	13.411264	0.021812	9.834096	16.539728	0.28044
44.0	44	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	11.622679999999956	14.975495999999998	0.1511260000000011	10.058448	13.411264	0.021812	13.186912	16.539728	0.28044
45.0	45	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	14.975496000000136	14.975496000000229	0.1511260000000056	13.411264	13.411264	0.01558	16.539728	16.539728	0.286672
46.0	46	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	18.328311999999983	14.975496000000009	0.1511260000000038	16.76408	13.411264	0.021812	19.892544	16.539728	0.28044
47.0	47	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	21.68112800000014	14.975496000000229	0.1511260000000056	20.116896	13.411264	0.01558	23.24536	16.539728	0.286672
48.0	48	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	25.033943999999995	14.975495999999977	0.1511260000000043	23.469712	13.411264	0.006232	26.598176	16.539728	0.29602
