label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
1.0	0.0	0.0	0.0	1.7976931348623166e+306	1.7976931348623166e+306	1.438154507889853e+306	0.0	0.0	0.0	0.0
2.0	3.628802716860516	8.578337698659327	0.10822747047855814	2.13	8.32	0.008	5.05	8.88	0.168	45052.0
3.0	3.761716706116856	8.547286657530835	0.2095368132552637	3.34	8.42	0.192	4.28	8.69	0.24	8027.0
4.0	11.218549018381571	4.635428998785682	2.629609322638983	8.36	1.61	0.336	13.68	7.23	4.024	383754.0
5.0	8.475	7.091666666666668	0.44799999999999995	8.46	7.08	0.44799999999999995	8.49	7.1000000000000005	0.44799999999999995	6.0
6.0	8.46	7.11	0.456	8.46	7.11	0.456	8.46	7.11	0.456	1.0
7.0	8.48	7.07	0.456	8.48	7.07	0.456	8.48	7.07	0.456	1.0
8.0	8.5	7.11	0.44799999999999995	8.5	7.11	0.44799999999999995	8.5	7.11	0.44799999999999995	1.0
9.0	8.546000000000001	7.086	0.456	8.53	7.08	0.456	8.56	7.09	0.456	5.0
10.0	8.57	7.07	0.456	8.57	7.07	0.456	8.57	7.07	0.456	1.0
11.0	8.65	6.87	0.544	8.65	6.87	0.544	8.65	6.87	0.544	1.0
12.0	9.6	5.75	0.872	9.6	5.75	0.872	9.6	5.75	0.872	1.0
13.0	9.810833333333333	5.629166666666666	0.992	9.79	5.62	0.992	9.83	5.64	0.992	12.0
14.0	10.44	5.39	1.416	10.44	5.39	1.416	10.44	5.39	1.416	1.0
15.0	10.45	5.4	1.432	10.45	5.4	1.432	10.45	5.4	1.432	1.0
16.0	10.655820895522387	5.313432835820897	2.0948059701492543	10.63	5.29	2.08	10.7	5.34	2.112	67.0
17.0	10.864152694610777	5.392308383233532	2.381561676646707	10.7	5.32	2.1519999999999997	11.01	5.45	2.568	3340.0
18.0	10.73	5.33	2.1519999999999997	10.73	5.33	2.1519999999999997	10.73	5.33	2.1519999999999997	1.0
19.0	11.14	5.21	2.944	11.14	5.21	2.944	11.14	5.21	2.944	1.0
20.0	11.21	5.19	2.904	11.21	5.19	2.904	11.21	5.19	2.904	1.0
21.0	11.22	5.19	2.912	11.22	5.19	2.912	11.22	5.19	2.912	1.0
22.0	11.81	4.3500000000000005	3.768	11.81	4.3500000000000005	3.768	11.81	4.3500000000000005	3.768	1.0
23.0	11.86	4.32	3.768	11.86	4.32	3.768	11.86	4.32	3.768	1.0
24.0	11.87	4.3100000000000005	3.768	11.87	4.3100000000000005	3.768	11.87	4.3100000000000005	3.768	1.0
25.0	12.41	3.48	3.904	12.41	3.48	3.904	12.41	3.48	3.904	1.0
26.0	12.52	3.29	3.888	12.52	3.29	3.888	12.52	3.29	3.888	1.0
27.0	12.52	3.31	3.912	12.52	3.31	3.912	12.52	3.31	3.912	1.0
28.0	12.53	3.3000000000000003	3.912	12.53	3.3000000000000003	3.912	12.53	3.3000000000000003	3.912	1.0
29.0	12.54	3.28	3.912	12.54	3.28	3.912	12.54	3.28	3.912	1.0
30.0	12.6	3.185	3.928	12.6	3.18	3.928	12.6	3.19	3.928	2.0
31.0	12.79	2.83	3.928	12.79	2.83	3.928	12.79	2.83	3.928	1.0
32.0	12.88	2.71	3.9360000000000004	12.88	2.71	3.9360000000000004	12.88	2.71	3.9360000000000004	1.0
33.0	13.15	2.41	3.928	13.15	2.41	3.928	13.15	2.41	3.928	1.0
34.0	13.16	2.4	3.928	13.16	2.4	3.928	13.16	2.4	3.928	1.0
35.0	13.22	2.15	3.9360000000000004	13.22	2.15	3.9360000000000004	13.22	2.15	3.9360000000000004	1.0
36.0	13.23	2.135	3.9360000000000004	13.23	2.13	3.9360000000000004	13.23	2.14	3.9360000000000004	2.0
37.0	13.38	2.03	3.912	13.38	2.03	3.912	13.38	2.03	3.912	1.0
38.0	13.39	1.85	3.928	13.39	1.85	3.928	13.39	1.85	3.928	1.0
39.0	13.39	2.01	3.912	13.39	2.01	3.912	13.39	2.01	3.912	1.0
40.0	13.4	1.84	3.928	13.4	1.84	3.928	13.4	1.84	3.928	1.0
41.0	13.4	1.995	3.912	13.4	1.99	3.912	13.4	2.0	3.912	2.0
