label_id	tomogram	DMVs	Virions	DMVs Opening	DMS	connectors	Fused DMVs	zER	Peroxisomes	Golgi	VTC	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z
1.0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1.5642319999999998	1.5642320000000032	0.1386620000000042	0.0	0.0	0.021812	3.128464	3.128464	0.2555119999999999
2.0	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	4.917047999999892	1.5642320000000045	0.1386620000000041	3.352816	0.0	0.024928	6.481280000000001	3.128464	0.252396
3.0	3	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	8.26986399999998	1.5642320000000047	0.1386620000000031	6.7056320000000005	0.0	0.018696	9.834096	3.128464	0.258628
4.0	4	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	11.622679999999926	1.5642320000000025	0.1386620000000027	10.058448	0.0	0.01558	13.186912	3.128464	0.261744
5.0	5	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	14.975496000000083	1.5642320000000047	0.1386620000000031	13.411264	0.0	0.018696	16.539728	3.128464	0.258628
6.0	6	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	18.328311999999976	1.564232000000001	0.1386620000000016	16.76408	0.0	0.021812	19.892544	3.128464	0.2555119999999999
7.0	7	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	21.68112800000011	1.5642320000000032	0.1386620000000028	20.116896	0.0	0.028044	23.24536	3.128464	0.24928
8.0	8	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	25.033944	1.5642320000000007	0.138662000000001	23.469712	0.0	0.01558	26.598176	3.128464	0.261744
9.0	9	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	28.38676000000005	1.5642320000000032	0.1386620000000042	26.822528	0.0	0.021812	29.950992000000006	3.128464	0.2555119999999999
10.0	10	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	31.739576000000024	1.564232000000001	0.138662000000001	30.17534400000001	0.0	0.024928	33.303808000000004	3.128464	0.252396
11.0	11	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1.5642319999999998	4.91704799999987	0.1386620000000041	0.0	3.352816	0.024928	3.128464	6.481280000000001	0.252396
12.0	12	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	4.917047999999907	4.917047999999992	0.1386620000000002	3.352816	3.352816	0.028044	6.481280000000001	6.481280000000001	0.24928
13.0	13	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	8.269863999999977	4.917047999999899	0.1386620000000038	6.7056320000000005	3.352816	0.034276	9.834096	6.481280000000001	0.243048
14.0	14	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	11.62267999999998	4.917047999999964	0.1386620000000046	10.058448	3.352816	0.01558	13.186912	6.481280000000001	0.261744
15.0	15	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	14.97549600000006	4.917047999999828	0.1386620000000046	13.411264	3.352816	0.01558	16.539728	6.481280000000001	0.261744
16.0	16	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	18.328311999999976	4.917047999999973	0.1386620000000023	16.76408	3.352816	0.024928	19.892544	6.481280000000001	0.252396
17.0	17	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	21.681128000000097	4.91704799999987	0.1386620000000041	20.116896	3.352816	0.024928	23.24536	6.481280000000001	0.252396
18.0	18	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	25.033944	4.917047999999915	0.1386620000000002	23.469712	3.352816	0.018696	26.598176	6.481280000000001	0.258628
19.0	19	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	28.38676000000005	4.917047999999868	0.1386620000000046	26.822528	3.352816	0.028044	29.950992000000006	6.481280000000001	0.24928
20.0	20	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	31.739576000000017	4.917047999999991	0.1386620000000014	30.17534400000001	3.352816	0.018696	33.303808000000004	6.481280000000001	0.258628
21.0	21	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1.5642319999999992	8.269864000000245	0.1386620000000033	0.0	6.7056320000000005	0.01558	3.128464	9.834096	0.261744
22.0	22	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	4.917047999999892	8.26986399999989	0.1386620000000041	3.352816	6.7056320000000005	0.024928	6.481280000000001	9.834096	0.252396
23.0	23	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8.269863999999995	8.269864000000208	0.1386620000000042	6.7056320000000005	6.7056320000000005	0.024928	9.834096	9.834096	0.252396
24.0	24	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	11.622679999999995	8.26986399999995	0.1386620000000021	10.058448	6.7056320000000005	0.021812	13.186912	9.834096	0.2555119999999999
25.0	25	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	14.975496000000094	8.269864000000208	0.1386620000000042	13.411264	6.7056320000000005	0.024928	16.539728	9.834096	0.252396
26.0	26	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	18.328311999999976	8.269863999999998	0.1386620000000018	16.76408	6.7056320000000005	0.018696	19.892544	9.834096	0.258628
27.0	27	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	21.68112800000011	8.269864000000222	0.1386620000000028	20.116896	6.7056320000000005	0.028044	23.24536	9.834096	0.24928
28.0	28	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	25.033943999999995	8.269863999999979	0.1386620000000027	23.469712	6.7056320000000005	0.021812	26.598176	9.834096	0.2555119999999999
29.0	29	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	28.38676000000005	8.269864000000211	0.1386620000000042	26.822528	6.7056320000000005	0.021812	29.950992000000006	9.834096	0.2555119999999999
30.0	30	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	31.739576000000035	8.26986399999995	0.1386620000000003	30.17534400000001	6.7056320000000005	0.01558	33.303808000000004	9.834096	0.261744
31.0	31	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1.5642319999999998	11.622680000000086	0.1386620000000019	0.0	10.058448	0.018696	3.128464	13.186912	0.258628
